portfolio,avg_firm_count,avg_market_cap_mm,mkt_cap_share_pct
BIG HiBM,24.32,2518772.12,11.89
BIG LoBM,84.71,3848010.65,18.17
ME1 BM2,288.39,23311.25,0.11
ME1 BM3,278.89,22691.66,0.11
ME1 BM4,303.39,21464.98,0.1
ME2 BM1,121.64,108237.19,0.51
ME2 BM2,91.96,106179.0,0.5
ME2 BM3,86.64,107275.82,0.51
ME2 BM4,80.29,107725.83,0.51
ME2 BM5,71.71,103429.93,0.49
ME3 BM1,98.43,252051.86,1.19
ME3 BM2,75.18,253381.9,1.2
ME3 BM3,67.0,255705.05,1.21
ME3 BM4,60.29,254852.61,1.2
ME3 BM5,41.11,251195.84,1.19
ME4 BM1,79.29,621456.76,2.93
ME4 BM2,62.36,631646.45,2.98
ME4 BM3,54.79,623610.01,2.94
ME4 BM4,48.39,639507.95,3.02
ME4 BM5,31.61,631195.43,2.98
ME5 BM2,54.68,3290641.96,15.54
ME5 BM3,46.25,3392519.46,16.02
ME5 BM4,38.86,3075283.01,14.52
SMALL HiBM,521.21,16153.52,0.08
SMALL LoBM,419.04,23438.43,0.11
