variable,mean,std,t_stat,autocorr_lag1,autocorr_lag2,autocorr_lag12
RM,0.9682650013795557,4.5186869299705235,3.962735032715252,0.045791370674476244,-0.043991933975701045,0.029368647155661388
TB,0.5530409356725146,0.21877583585612734,46.748855165842095,0.9318694927192139,0.8817519841814601,0.647645377419572
LTG,0.6586925708699871,0.21737765899678005,55.95579202511807,0.9430435396907021,0.9258310011002412,0.823473345873442
CB,0.7510728250244326,0.24826188205779465,55.86620811544868,0.9548395385615805,0.9409055798278098,0.8482688040379524
RM-RF,0.41522406570704107,4.539240294418593,1.6916573340442917,0.05137440043042101,-0.0389854413781699,0.024609429649071427
RMO,-1.0198232746962328,4.126477014773444,-4.57044557809293,-0.08421294541844851,-0.05283854930564747,0.04821761972982101
SMB,0.2905805372411719,3.0106991245937573,1.784893134747991,0.13480928708681897,0.04030610103604793,0.23172079310272486
HML,0.4148037159807471,2.4327810023134444,3.153208405742678,0.14370221528287058,0.088495040260652,0.15011202722046377
TERM,1.2554093567251434,1.2981923962282325,17.8837814191623,0.9401915798406635,0.8523041049546471,0.3861820955212703
DEF,1.1080994152046737,0.4785310631060733,42.82344916606981,0.9672664985319591,0.9226880834862797,0.6212287014143472
