portfolio,(i),(ii),(iii),(iv),(v)
SMALL LoBM,-1.64 / -1.47,-0.20 / -0.74,0.09 / 0.32,-0.40 / -2.73,0.31 / 0.86
ME1 BM2,-1.65 / -1.76,0.19 / 0.88,0.35 / 1.37,-0.09 / -0.77,-0.03 / -0.10
ME1 BM3,-1.91 / -2.12,0.20 / 0.93,0.27 / 1.09,-0.16 / -1.60,-0.38 / -1.53
ME1 BM4,-1.52 / -1.75,0.41 / 1.97,0.40 / 1.74,-0.01 / -0.10,-0.09 / -0.42
SMALL HiBM,-1.23 / -1.37,0.58 / 2.55,0.47 / 1.94,0.04 / 0.47,0.17 / 0.77
ME2 BM1,-1.46 / -1.40,-0.18 / -0.88,0.38 / 1.24,-0.14 / -1.06,0.53 / 1.58
ME2 BM2,-2.46 / -2.67,0.07 / 0.37,0.31 / 1.14,-0.16 / -1.46,-0.79 / -2.88
ME2 BM3,-1.27 / -1.51,0.33 / 1.94,0.50 / 1.98,0.05 / 0.58,0.25 / 1.09
ME2 BM4,-1.35 / -1.65,0.49 / 2.86,0.56 / 2.22,0.11 / 1.23,0.08 / 0.33
ME2 BM5,-0.98 / -1.11,0.46 / 2.28,0.44 / 1.63,-0.03 / -0.31,0.48 / 1.86
ME3 BM1,-1.98 / -2.17,-0.20 / -1.20,0.30 / 1.06,-0.19 / -1.71,-0.21 / -0.76
ME3 BM2,-1.93 / -2.30,0.37 / 2.43,0.68 / 2.52,0.21 / 1.99,-0.34 / -1.35
ME3 BM3,-1.33 / -1.66,0.32 / 2.09,0.54 / 2.05,0.08 / 0.75,0.14 / 0.51
ME3 BM4,-1.21 / -1.61,0.46 / 3.08,0.56 / 2.21,0.11 / 1.16,0.10 / 0.41
ME3 BM5,-0.86 / -1.08,0.58 / 3.46,0.62 / 2.37,0.16 / 1.57,0.49 / 1.87
ME4 BM1,-1.47 / -1.82,-0.05 / -0.41,0.55 / 2.00,0.06 / 0.62,0.16 / 0.65
ME4 BM2,-1.84 / -2.32,0.03 / 0.24,0.44 / 1.58,-0.05 / -0.45,-0.30 / -1.11
ME4 BM3,-1.55 / -2.07,0.22 / 1.79,0.50 / 1.85,0.02 / 0.23,-0.14 / -0.56
ME4 BM4,-0.90 / -1.16,0.42 / 2.97,0.61 / 2.16,0.12 / 1.04,0.48 / 1.68
ME4 BM5,-1.16 / -1.37,0.45 / 2.44,0.54 / 1.77,0.03 / 0.19,0.23 / 0.65
BIG LoBM,-0.94 / -1.42,-0.02 / -0.20,0.65 / 2.71,0.22 / 2.76,0.39 / 1.97
ME5 BM2,-1.58 / -2.42,-0.11 / -1.24,0.37 / 1.44,-0.09 / -1.09,-0.30 / -1.44
ME5 BM3,-1.09 / -1.64,-0.11 / -1.10,0.27 / 1.04,-0.19 / -1.89,0.16 / 0.63
ME5 BM4,-0.99 / -1.44,0.09 / 0.74,0.36 / 1.34,-0.11 / -1.05,0.22 / 0.85
BIG HiBM,-2.02 / -2.51,0.16 / 0.86,0.26 / 0.83,-0.27 / -1.92,-0.78 / -2.22
